timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target
1712471545,223,79,2899,7950,65535,65535,65535,65535,0,34196,,
1712471547,257,1522,4323,7629,65535,65535,65535,65535,0,34196,,
1712471549,262,1201,4095,7239,65535,65535,65535,65535,0,34196,,
1712471551,265,1247,4111,7346,65535,65535,65535,65535,0,34196,,
1712471553,255,617,-655,9557,65535,65535,65535,65535,0,34196,,
1712471555,192,3010,-4070,11242,65535,65535,65535,65535,0,34196,,
1712471557,173,121,-573,8367,65535,65535,65535,65535,0,34196,,
1712471559,156,2111,1079,8470,65535,65535,65535,65535,0,34196,,
1712471561,132,662,1349,8423,65535,65535,65535,65535,0,34196,,
1712471563,148,-98,1389,8117,65535,65535,65535,65535,0,34196,,
1712471961,200,-697,2748,5683,65535,65535,65535,65535,0,34196,,
1712471963,217,-1552,2342,6960,65535,65535,65535,65535,0,34196,,
1712471965,249,-1414,2520,9857,65535,65535,65535,65535,0,34196,,
1712471967,259,2533,3384,9255,65535,65535,65535,65535,0,34196,,
1712471969,245,-1515,2703,6828,65535,65535,65535,65535,0,34196,,
1712471971,257,-1321,2940,9517,65535,65535,65535,65535,0,34196,,
1712471973,270,1587,6377,9475,65535,65535,65535,65535,0,34196,,
1712471975,256,-293,1953,5412,65535,65535,65535,65535,0,34196,,
1712471977,249,-2118,1679,9323,65535,65535,65535,65535,0,34196,,
1712471979,239,2296,3384,9171,65535,65535,65535,65535,0,34196,,
1712471981,252,1212,3139,6581,65535,65535,65535,65535,0,34196,,
1712471983,247,-1276,1694,9139,65535,65535,65535,65535,0,34196,,
1712471985,238,3782,4312,7884,65535,65535,65535,65535,0,34196,,
1712471987,225,-343,2413,7003,65535,65535,65535,65535,0,34196,,
1712471989,220,-1159,658,10543,65535,65535,65535,65535,0,34196,,
1712471991,214,2001,3588,5556,65535,65535,65535,65535,0,34196,,
1712471993,211,-824,2459,6681,65535,65535,65535,65535,0,34196,,
1712471995,226,-566,2309,9135,65535,65535,65535,65535,0,34196,,
1712471997,254,2110,4712,6073,65535,65535,65535,65535,0,34196,,
1712471999,262,-1981,2544,5481,65535,65535,65535,65535,0,34196,,
1712472001,256,-2122,2121,8588,65535,65535,65535,65535,0,34196,,
1712472003,252,1551,3846,9108,65535,65535,65535,65535,0,34196,,
1712472005,252,831,2035,7746,65535,65535,65535,65535,0,34196,,
1712472007,230,-1291,-570,7275,65535,65535,65535,65535,0,34196,,
1712472009,242,-1682,1466,9458,65535,65535,65535,65535,0,34196,,
1712472011,242,-214,1108,8119,65535,65535,65535,65535,0,34196,,
1712472013,258,2352,2837,8089,65535,65535,65535,65535,0,34196,,
1712472015,257,-1256,3016,6010,65535,65535,65535,65535,0,34196,,
1712472017,269,-1725,1477,8314,65535,65535,65535,65535,0,34196,,
1712472019,269,-1337,3307,10134,65535,65535,65535,65535,0,34196,,
1712472021,251,-215,-674,10502,65535,65535,65535,65535,0,34196,,
1712472023,274,711,4863,3468,65535,65535,65535,65535,0,34196,,
1712472025,281,66,1711,7005,65535,65535,65535,65535,0,34196,,
1712472027,280,-1832,1208,6589,65535,65535,65535,65535,0,34196,,
1712472029,288,2031,1614,10460,65535,65535,65535,65535,0,34196,,
1712472031,212,-1743,-940,9710,65535,65535,65535,65535,0,34196,,
1712472033,195,2221,32,11060,65535,65535,65535,65535,0,34196,,
1712472035,200,55,-2357,5633,65535,65535,65535,65535,0,34196,,
1712472037,206,-1348,-579,5076,65535,65535,65535,65535,0,34196,,
1712472039,203,-1192,1541,8466,65535,65535,65535,65535,0,34196,,
1712472041,208,-804,487,9178,65535,65535,65535,65535,0,34196,,
1712472043,213,2360,-120,10879,65535,65535,65535,65535,0,34196,,
1712472045,213,-149,1847,6121,65535,65535,65535,65535,0,34196,,
1712472047,219,-1168,1769,8777,65535,65535,65535,65535,0,34196,,
1712472049,201,278,1194,12277,65535,65535,65535,65535,0,34196,,
1712472051,210,-902,545,4812,65535,65535,65535,65535,0,34196,,
1712472053,188,-2724,-1736,9310,65535,65535,65535,65535,0,34196,,
1712472055,194,110,1153,10678,65535,65535,65535,65535,0,34196,,
1712472057,184,96,-549,5157,65535,65535,65535,65535,0,34196,,
1712472059,205,-2577,627,5152,65535,65535,65535,65535,0,34196,,
1712472061,224,1428,2784,11198,65535,65535,65535,65535,0,34196,,
1712472063,196,2034,-2704,9696,65535,65535,65535,65535,0,34196,,
1712472065,203,246,697,5572,65535,65535,65535,65535,0,34196,,
1712472067,197,-1410,1530,6626,65535,65535,65535,65535,0,34196,,
1712472069,209,-811,1915,8914,65535,65535,65535,65535,0,34196,,
1712472071,229,1062,2231,5461,65535,65535,65535,65535,0,34196,,
1712472073,225,-222,1701,6603,65535,65535,65535,65535,0,34196,,
1712472075,220,-2001,770,9381,65535,65535,65535,65535,0,34196,,
1712472077,221,3461,1706,10452,65535,65535,65535,65535,0,34196,,
1712472079,215,-1056,2158,5965,65535,65535,65535,65535,0,34196,,
1712472080,237,-2637,774,7513,65535,65535,65535,65535,0,34196,,
1712472082,223,-2477,-432,8788,65535,65535,65535,65535,0,34196,,
1712472084,233,-1054,1374,9517,65535,65535,65535,65535,0,34196,,
1712472086,229,1003,988,12265,65535,65535,65535,65535,0,34196,,
1712472088,218,1195,-574,7475,65535,65535,65535,65535,0,34196,,
1712472090,234,-663,-594,6477,65535,65535,65535,65535,0,34196,,
1712472092,238,-300,3534,8411,65535,65535,65535,65535,0,34196,,
1712472094,244,-1009,2811,8923,65535,65535,65535,65535,0,34196,,
1712472096,232,3140,1656,11949,65535,65535,65535,65535,0,34196,,
1712472098,242,31,781,5576,65535,65535,65535,65535,0,34196,,
1712472100,234,-785,-221,5110,65535,65535,65535,65535,0,34196,,
1712472102,256,118,2755,7515,65535,65535,65535,65535,0,34196,,
1712472104,250,-1110,2404,9059,65535,65535,65535,65535,0,34196,,
1712472106,234,4327,2695,13004,65535,65535,65535,65535,0,34196,,
1712472108,251,711,76,6663,65535,65535,65535,65535,0,34196,,
1712472110,238,714,-869,4909,65535,65535,65535,65535,0,34196,,
1712472112,251,2748,4508,8698,65535,65535,65535,65535,0,34196,,
1712472114,260,-1221,1085,10924,65535,65535,65535,65535,0,34196,,
1712472116,229,3362,2088,12470,65535,65535,65535,65535,0,34196,,
1712472118,186,132,397,6341,65535,65535,65535,65535,0,34196,,
1712472120,262,-307,-885,4975,65535,65535,65535,65535,0,34196,,
1712472122,232,-211,2048,9915,65535,65535,65535,65535,0,34196,,
1712472124,247,540,3628,8673,65535,65535,65535,65535,0,34196,,
1712472126,294,5003,2899,11883,65535,65535,65535,65535,0,34196,,
1712472128,264,764,-276,6543,65535,65535,65535,65535,0,34196,,
1712472130,237,-733,630,6901,65535,65535,65535,65535,0,34196,,
1712472132,307,629,2833,6760,65535,65535,65535,65535,0,34196,,
1712472134,268,-30,2470,7822,65535,65535,65535,65535,0,34196,,
1712472136,266,-405,2324,6880,65535,65535,65535,65535,0,34196,,
1712472138,275,1795,3956,10157,65535,65535,65535,65535,0,34196,,
